レス番号,内容
1,うおおおおおお ジュベントゥージに所属するCBダニーロ・ボザ に日本からオファーがありまもなく移籍するとか 26歳のダニーロ・ボザは今季ブラジル1部32試合出場 J1案件かなCBが必要なJクラブといえば
2,待望の壁CBキタ(゚゚) あとは右SBとクリロナか
3,アルベルト島野 浦和へ移籍するってよ 午前528 ・ 2025年1月15日 マジかよ
4,mk19 代理人調べたらドウグラス・ヴィエイラと同じなんですね 午前813 ・ 2025年1月15日
5,185センチ右利きは一応右センターバックに合う
6,Danilo Boza この選手かCBとしては足下は異常に上手いな 壁になれるかどうかはよく分からん
7,ボールの持ち出しかたが闘莉王にそっくり 足元は相当上手いね 攻撃大好きな感じ ヘディングも強いようだけど ヘディングゴールは少ないな 体も強いね スピードもまぁまぁ
8,裏に出すロングフィードめっちゃ上手いな
9,良いところばかり集めてるんだから当たり前だけど スピードあって足元うまくてすげーいい選手に見えるな 守備力は分からんが
10,ChatGPTに聞いてみた ダニーロ・ボザ選手はブラジル出身のセンターバックで空中戦やフィジカルの強さが特徴です スコルジャ監督の戦術に適応するためにはこれらの能力に加えてビルドアップ能力や戦術理解度が求められます したがってダニーロ・ボザ選手が浦和レッズにフィットするかどうかは彼の総合的なスキルセットとスコルジャ監督の戦術要求との適合性によると言えます
11,無難な答えしか出てこないやん
12,ダニーロ・ボザ選手の成功確率は約50と推定されます フィジカルの強さや空中戦はJリーグでプラスに働く要素です 一方で戦術的適応や浦和レッズでの競争の激しさが課題となります マチェイ・スコルジャ監督の戦術理解がカギとなるでしょう シーズン序盤での適応が成功への重要なポイントです
13,がっつり右CBやね 足もとも上手っぽい
14,動画見てたらだんだん気に入ってきた カバーリングやインターセプトが得意でドリブルでどんどん持ち上がって攻撃参加するリベロタイプ アドリエウソンの方が対人守備能力や跳躍力が凄くてヘディング強くていかにも壁って感じだったが
15,アルベルト島野 日本からオファーがあったダニーロ・ボザは 南米のトップ5リーグで最も成功率の高いディフェンスデュエルを持つ7人のセンターバックのうち4位にランクアップされているとか
16,南米トップ5リーグって初めて聞いたがブラジルアルゼンチンの他の3つはどこ
17,知らんけど ウルグアイパラグアイコロンビアあたりじゃね
18,流石にこのデータのダニーロは浦和が取る方で合ってるのかな
19,やっと壁が来るのか
20,持ち上がりもできて縦パスも刺せる 足元うまいし足も遅くなさそう 来てくれるならありがたいね
21,wikiには右SBできるという情報が
22,サントス時代に右サイドバックやったけどひどかったみたい
