レス番号,内容
1,最低限の結果か
2,キーパー褒めるしかないわ
3,終盤にサラー代えられる選手ほしい エリオット構想外ならもう出してやれよ
4,まぁ最低限かな 負けなくて良かった
5,セルスがMOTMだろうなぁ~ジョタとコスティありがと!
6,守備固いな 惜しかったが勝ち点1は大事
7,まぁ今日はセルスが良すぎたな 負けなくて良かった そして残念だけどロボはもうダメだわ 攻守共にトップレベルじゃない 毎試合どれだけのミスを繰り返すのか
8,前半の内容考えると妥当な引き分けかな スパーズは多分ボコられるよなあ
9,アリソンがセルスなら勝ってたと言われても仕方ないな そのぐらいセルス凄かったし逆にアリソンは最近あんまとめてないな
10,絶対に止めないといけないわけではないけど、アリソンならっていうシュートを復帰後は中々止めてくれてない印象あるよなぁ 別にアリソンのせいではないんだけど、理不尽さはなくなってる
11,フォレストが難しい相手にしてもだなぁ 今年も2月前後をどう凌ぐかがポイントになりそうだな
12,いやぁ今季のリバプールの強さでフォレストに負け越したか~ 悔しいけとマジで強かった
13,まぁ正直6ポインターだし負けなくて良かったわ 実質2位と9ポイント差か コナテ下げて以降の内容は完全に勝ってただけに
14,サラーがずっとコンディション良いことなんてありえないんだからオプションほしい 来年ドークに期待するか
15,まぁ切り替えるしかないな お疲れ様
16,ムリーロとネコとセルスが凄まじかったなという試合 逆にリバプールの攻撃も凄まじかったから綺麗に剣と盾で相殺 フォレストが今2位なのも納得
17,フォレスト滅茶苦茶強いからね実際 そして散々ネコはすげえよと言ってたのがこの試合でわかったろ マジで守備カッチカチだしサボらないしでいい選手だよ
18,スロットのは流行りの戦術ではあるんだろうけど ドン引き崩すのには向いてないよねやっぱり まあ最近のインテンシティターンオーバー合戦になってきてるサッカーには合ってるのかもしれないけど シティでもそんな感じだった
19,フォレストは確かに強かったけどこういう鉄壁チームってビッグ4時代にはゴロゴロいたよな 良くも悪くも金持ちチームばっかになってなんちゃって攻撃サッカーチームが増えて上位チームはやりやすくなった気がするわ 結局守備意識高いチームが1番のアンチ強豪チームだわ
20,そういうところはあるな 弱者と割り切ってドン引きサッカーするところは減った
21,ムリーリョとセルスが壁だった
22,ムリーロはいくらになるんだろうな? あれどこが獲るかでだいぶパワーバランス変わるだろ
23,前半アーノルドが中に入り気味、 サラーがサイドに張って孤立してた 独力でなんとかって戦術だったかもだけど不発。 中に入ることも少ないからシュートすら無し。 後半アーノルドが高めワイドでサラーが絞り気味、 ソボスライも近くにいるようにしたらチャンスが増えたね。 やっぱりサラーはハーフスペースあたりを使う ほうがチームとしてチャンスを作れる。
24,アーノルドの場合は偽9番のディアスが一切ハマってないのが今後課題になりそうだな やっぱ裏に走ってマイナスのクロス出さないなら高さが必要になるわけでクロスのターゲットがほとんど後から入ってくるソボスライだったのかなり辛め ほんとデカいターゲットになれる9番いるかもねこれ
25,やっぱり普通にまともなストライカーが1人欲しいわな 延長無しならディアスかヌニェス売って9番とセメンヨ辺り欲しいわ
26,アーノルドにオーバーラップさせると右サイドカウンターで1点ものやからなぁ コーチ陣の指示かもしれん
27,まあロボもインナーラップするし、そっから中央使ってバイタル攻略とか、オーバーロード作ったり逆サイドのウイングに展開したり、あるいは対角の裏攻略とかのパターンとか、 スロットの戦術の軸の一つだからなSBのインナーのポジション取りは
28,本来ならスペック的に考えてヌニェスがドンピシャでハマるはずだったんだよな スロットもさすがにこれは予想外だったろ
29,ヌニェスは今シーズンチームプレーを頑張ってるせいで攻撃に魅力がない気がするわ 守備もパスもいいけど、もっとガンガンシュート打って、裏抜けてを繰り返してほしい
30,交代枠2っ残してキエーザエリオット使わずか
31,キエーザとエリオットでなにかできたとは思えないな ガクポのシュートすら止められたんじゃなにしても入らんわ セルスがバグってた
32,スロットの修正、采配すごいなドンピシャすぎ
33,後半無双するあたり修正力はガチ 望む選手獲得できてない状態でこれはようやっとるよ 最初にも言ってるようにスロットは9番タイプをトップに置きたいと断言してるのに全うな9番がいないでござるw
34,あれは修正なんて上等なもんじゃないわw パニクって即興433+フラフェン偽CBのファイヤーフォメにしただけw むしろドン引き崩す433のオプションなんて事前に準備してるべきなんだよなあ
35,でもドン引き崩せるフォーメーションって思い付くか? 点が取れなかったのはフィニッシュの精度のせいだと思うよ 宇宙開発みたいなのを決め切れていればフォーメーションのせいにはならなかった
36,この内容なら勝ち点1を持ち帰れたことは有り難いわ素直にフォレスト強かった しかし今シーズンは相手の戦術にも、こいつらマジでつええなって思わされたチームがシティガナ飴じゃなくてフォレスト新城ってのも時代の流れを感じるわな
37,失点シーンはダイクの詰めが甘かったのか? 前段階のアーノルド? フォレストはマークズラす動きが徹底されてた感じだな 典型的なダイアゴナルにやられた
38,アーノルド良かったわ 決定機創出連発に守備もガンガン走りまくってスタメンの中ではいちばん良かった 相手のキーパーのスーパーセーブ連発を褒めるしかない とりあえず負けずに勝ち点を積めたのは良い
39,フォレストは2位のチームだし簡単な試合になるはずはないからな その中でも試合中しっかりと修正をして負けずに最低でも勝ち点を拾ったことが大事 にしても相手がスーパーセーブしすぎたわ
