URL,レス番号,内容
https://www.calciomatome.net/article/508941224.html,1,うおおおおおお ジュベントゥージに所属するCBダニーロ・ボザ に日本からオファーがあり、まもなく移籍するとか。 26歳のダニーロ・ボザは今季ブラジル1部32試合出場。 J1案件かな。CBが必要なJクラブといえば...
https://www.calciomatome.net/article/508941224.html,2,待望の壁CBキタ━━━━\(゚∀゚\)━━━━!! あとは右SBとクリロナか
https://www.calciomatome.net/article/508941224.html,3,アルベルト島野 浦和へ移籍するってよ! 午前5:28 ・ 2025年1月15日 マジかよ
https://www.calciomatome.net/article/508941224.html,4,mk19 代理人調べたらドウグラス・ヴィエイラと同じなんですね 午前8:13 ・ 2025年1月15日
https://www.calciomatome.net/article/508941224.html,5,185センチ右利きは一応右センターバックに合う
https://www.calciomatome.net/article/508941224.html,6,Danilo Boza この選手か。CBとしては足下は異常に上手いな 壁になれるかどうかはよく分からん
https://www.calciomatome.net/article/508941224.html,7,ボールの持ち出しかたが闘莉王にそっくり 足元は相当上手いね 攻撃大好きな感じ ヘディングも強いようだけど ヘディングゴールは少ないな 体も強いね スピードもまぁまぁ?
https://www.calciomatome.net/article/508941224.html,8,裏に出すロングフィードめっちゃ上手いな
https://www.calciomatome.net/article/508941224.html,9,良いところばかり集めてるんだから当たり前だけど スピードあって足元うまくてすげーいい選手に見えるな 守備力は分からんが
https://www.calciomatome.net/article/508941224.html,10,ChatGPTに聞いてみた ダニーロ・ボザ選手は、ブラジル出身のセンターバックで、空中戦やフィジカルの強さが特徴です。 スコルジャ監督の戦術に適応するためには、これらの能力に加えて、ビルドアップ能力や戦術理解度が求められます。 したがって、ダニーロ・ボザ選手が浦和レッズにフィットするかどうかは、彼の総合的なスキルセットとスコルジャ監督の戦術要求との適合性によると言えます。
https://www.calciomatome.net/article/508941224.html,11,無難な答えしか出てこないやん
https://www.calciomatome.net/article/508941224.html,12,ダニーロ・ボザ選手の成功確率は約50%と推定されます。 フィジカルの強さや空中戦はJリーグでプラスに働く要素です。 一方で、戦術的適応や浦和レッズでの競争の激しさが課題となります。 マチェイ・スコルジャ監督の戦術理解がカギとなるでしょう。 シーズン序盤での適応が成功への重要なポイントです。
https://www.calciomatome.net/article/508941224.html,13,がっつり右CBやね 足もとも上手っぽい
https://www.calciomatome.net/article/508941224.html,14,動画見てたらだんだん気に入ってきた カバーリングやインターセプトが得意でドリブルでどんどん持ち上がって攻撃参加するリベロタイプ アドリエウソンの方が対人守備能力や跳躍力が凄くてヘディング強くていかにも壁って感じだったが
https://www.calciomatome.net/article/508941224.html,15,アルベルト島野 日本からオファーがあったダニーロ・ボザは 南米のトップ5リーグで、最も成功率の高いディフェンスデュエルを持つ7人のセンターバックのうち、4位にランクアップされているとか。
https://www.calciomatome.net/article/508941224.html,16,南米トップ5リーグって初めて聞いたがブラジル、アルゼンチンの他の3つはどこ?
https://www.calciomatome.net/article/508941224.html,17,知らんけど ウルグアイ、パラグアイ、コロンビアあたりじゃね?
https://www.calciomatome.net/article/508941224.html,18,流石にこのデータのダニーロは浦和が取る方で合ってるのかな
https://www.calciomatome.net/article/508941224.html,19,やっと壁が来るのか
https://www.calciomatome.net/article/508941224.html,20,持ち上がりもできて縦パスも刺せる 足元うまいし足も遅くなさそう 来てくれるならありがたいね
https://www.calciomatome.net/article/508941224.html,21,wikiには右SBできるという情報が
https://www.calciomatome.net/article/508941224.html,22,サントス時代に右サイドバックやったけどひどかったみたい
https://www.calciomatome.net/article/508941224.html,23,これが確定と言う事ならホリの出来る範囲で頑張ったと見て良いのかな? 欲を言えば右SBの補強が欲しかったけどね
https://www.calciomatome.net/article/508941224.html,24,右SB兼まだまだ薄手のCBの控えとして橋岡欲しいとこなんだけどな たぶん水面下で動いてそうな気もするがルートンタウンと本人に復帰の意思があるかどうか 来年のW杯出場考えたら試合に出れる所に行かなきゃどうにもならんし
https://www.calciomatome.net/article/508941224.html,25,"ダニーロ・ボザ フルネーム: Danilo Boza Júnior 生年月日(年): May 6, 1998(26) 身長: 1,85 m 国籍: ブラジル ポジション: Defender - Centre-Back 利き足: 右 所属: Esporte Clube Juventude 契約: Dec 31, 2025 市場価値: 1.50Mill.€ tps://www.transfermarkt.com/danilo-boza/profil/spieler/606136 2024 全国選手権(セリエA) 32試合3G1A 黄紙2 出場2,832 2023 全国選手権(セリエB) 38試合2G1A 黄紙1 出場3,389 2022 全国選手権(セリエB) 17試合0G0A 黄紙2 出場1,248 2021 全国選手権(セリエA) 22試合0G1A 黄紙2 出場1,455 2020 全国選手権(セリエD) 20試合4G0A 黄紙5 2枚目退場1 出場1,764 2019 全国選手権(セリエB) 0試合0G0A 出場0 2018-19 ポルトガル2部 9試合0G0A 出場736 tps://www.transfermarkt.com/danilo-boza/leistungsdaten/spieler/606136"
https://www.calciomatome.net/article/508941224.html,26,ええやん
https://www.calciomatome.net/article/508941224.html,27,てかCBで黄紙少ないのも凄いな
https://www.calciomatome.net/article/508941224.html,28,西野が今年獲得したコロンビア人DFは1シーズンだけで17枚も黄紙もらってて草
https://www.calciomatome.net/article/508941224.html,29,1シーズンでカード17枚草 どんなプレーしたらそんな事になるのか
https://www.calciomatome.net/article/508941224.html,30,ビルドアップ能力ありそうなのは戦術的には求めてるタイプな感じだね 一応記事には右SBもやれる的なこと書いてあるけどどうなんだろ
https://www.calciomatome.net/article/508941224.html,31,正直去年の夏に取る選手だったろとは思う まあ取れるなら最低限か あとSBはよ
https://www.calciomatome.net/article/508941224.html,32,足速いのはいいな JリーグのCBは足遅いと辛い
https://www.calciomatome.net/article/508941224.html,33,足速いのは良いな ライン上げられる あとはマリウスとのコミュニケーションだが
https://www.calciomatome.net/article/508941224.html,34,バスコのディフェンダー、ダニーロ・ボザが世界最速選手の一人に
https://www.calciomatome.net/article/508941224.html,35,スピード自信あるのか 36キロってJリーグだと誰くらい?
https://www.calciomatome.net/article/508941224.html,36,調べたら去年のデータでトップタイで ガンバの山下と当時鹿島の藤井の35.4の上
https://www.calciomatome.net/article/508941224.html,37,ほう 計測がブラジルと日本だとズレありそうだが 足は自慢の快速ぽいな
https://www.calciomatome.net/article/508941224.html,38,松尾で去年の記録だと34.7 36だとJナンバーワンの数字になるね
https://www.calciomatome.net/article/508941224.html,39,すげえスペック高そうな選手だが ちょっと遅咲きぽいのはなんでだろな
https://www.calciomatome.net/article/508941224.html,40,ダニーロボザが前に進みたくても バックパス横パスを繰り返す西川マリウス石原安居にビックリするだろうな
https://www.calciomatome.net/article/508941224.html,41,スペック的には弱点がないなダニーロボザ ボールはちょっと持ちすぎかもしれない 西川マリウス安居が下手くそだから 上手く反応できないかもな
https://www.calciomatome.net/article/508941224.html,42,今のところポジ要素しかないな ただ本当にそんなスーパーな選手ならこの年齢までヨーロッパ行ってない筈ないとも思うが 脚の速さ意外は多少割り引いて考えてもいいかもしれん
https://www.calciomatome.net/article/508941224.html,43,ブラジル1部で活躍したのは2023年からだから 微妙な可能性もあるな 遅咲きならいいが
https://www.calciomatome.net/article/508941224.html,44,怪しそうだけど大丈夫?
